Comment,Designator,Footprint,JLCPCB part,Qty
100SXV15MX,"C1,C6",100SXV15MX:CAP_100SXV15MX,C542588,2
 GRJ32ER71H106KE11L,"C2,C3,C7,C8",Capacitor_SMD:C_1210_3225Metric,C710759,4
TAJD157K016RNJ,"C4,C9",TRME157M016R0030:CAP_TRM-E-2917_AVX-L,C8025,2
CL32A107MPVNNNE,"C5,C10",Capacitor_SMD:C_1206_3216Metric,C23742,2
TCC0805X7R471K102FT,"C11,C12,C13,C14,C15,C16",Capacitor_SMD:C_0805_2012Metric,C20416464,6
NCD0603C1,D1,LED_SMD:LED_0603_1608Metric,C84264,1
1719710105,"J2,J3,J4,J5",1719710105:MOLEX_1719710105,digikey: WM22652-ND,4
2132250430,"J6,J8,J9,J10",2132250430:MOLEX_2132250430,digikey: 900-2132250430-ND,4
1719710106,J7,1719710106:MOLEX_1719710106,digikey:1719710106-ND,1
TFM-106-02-L-D-WT,J11,TFM_106_02_L_D_WT (1):SAMTEC_TFM-106-02-L-D-WT,digikey:TFM-106-02-L-D-WT-ND,1
9774120360R,"MP1,MP2",9774120360R:WA-SMSI_9774120360,digikey:732-5279-1-ND,2
RC0201FR-07124KL,"R1,R5",Resistor_SMD:R_0201_0603Metric,C138178,2
0201WMF1003TEE,R2,Resistor_SMD:R_0201_0603Metric,C270364,1
ERJ2RKF3743X,R3,Resistor_SMD:R_0402_1005Metric,C409912,1
RTT012871FTH,"R4,R7",Resistor_SMD:R_0201_0603Metric,C158645,2
0201WMF1002TEE,R8,Resistor_SMD:R_0201_0603Metric,C138178,1
0402WGF1200TCE,"R6,R9,R10,R11,R12,R13,R14,R15,R16",402,C25079,9
LTM8064IY#PBF,"U1,U2",LTM8064IY_PBF:BGA108_16X11P9_ADI,digikey:505-LTM8064IY#PBF-ND,2
1206W4F2004T5E,"R17,R18,R19,R20,R21,R22",Capacitor_SMD:C_1206_3216Metric,C26120,6
