Designator,Mid X(mm),Mid Y(mm),layer,Rotation
C1,118.1,-85.575,top,180
C4,150.32,-106.16,top,0
C6,145.93,-85.83,top,0
C9,111.05,-99.57,top,270
C11,168.45,-106.45,top,-90
C12,103.975,-100,top,180
C15,165.075,-68.2,top,180
C16,107.775,-82.4,top,-90
D1,111.01,-107.75,top,180
J2,100.026,-92.681124,top,-98
J3,172.000653,-87.394363,top,98
J6,106.3,-73.66,top,90
J8,172.67,-74.72,top,-90
MP1,105.156,-105.8663,top,0
MP2,173.6564,-105.8638,top,0
R1,113.22,-94.66,top,-90
R2,140.95,-104.2,top,180
R5,145.03,-104.18,top,180
R6,106.66,-96.45,top,90
R7,137.225,-101.97,top,-90
R8,110.18,-106.19,top,90
R9,154.825,-77.975,top,-90
R10,178.625,-83.675,top,-90
R13,111.825,-71.6,top,90
R14,167.2,-76.825,top,-90
R17,101.675,-97.125,top,180
R18,166.075,-106.475,top,-90
R21,165.1,-70.525,top,180
R22,110.15,-82.425,top,-90
U1,119.93,-99.505,top,0
U2,146.025,-97.52,top,90
C2,130.84,-95.88,bottom,-90
C3,127.46,-95.84,bottom,-90
C5,112.3962,-101.4623,bottom,-90
C7,138.09,-95.88,bottom,-90
C8,134.71,-95.89,bottom,-90
C10,159.375,-97.425,bottom,-90
C13,113.525,-82.575,bottom,0
C14,169.75,-83.1,bottom,180
J4,106.7935,-87.344719,bottom,82
J5,178.760499,-92.665843,bottom,-82
J7,153.68,-71.58,bottom,90
J9,172.46,-73.69,bottom,90
J10,105.93,-74.83,bottom,-90
J11,123.86,-76.215,bottom,-90
R3,119.21,-94.04,bottom,0
R4,115.4,-94.09,bottom,180
R11,172.04,-96.55,bottom,90
R12,99.95,-83.675,bottom,-90
R15,166.975,-71.675,bottom,90
R16,111.55,-77,bottom,-90
R19,169.775,-80.8,bottom,180
R20,113.55,-80.275,bottom,0
