Comment,Designator,Footprint,JLCPCB part
100SXV15MX,"C1,C6",100SXV15MX:CAP_100SXV15MX,C542588
 GRJ32ER71H106KE11L,"C2,C3,C7,C8",Capacitor_SMD:C_1210_3225Metric,C710759
TAJD157K016RNJ,"C4,C9",TRME157M016R0030:CAP_TRM-E-2917_AVX-L,C8025
CL32A107MPVNNNE,"C5,C10",Capacitor_SMD:C_1206_3216Metric,C23742
CL03A104KA3NNNC,C17,201,C307379
202R18W471KV4E,C12,1206,C167388
NCD0603C1,D1,LED_SMD:LED_0603_1608Metric,C84264
1719710105,"J2,J3,J4,J5",1719710105:MOLEX_1719710105,digikey: WM22652-ND
2132250430,"J6,J8,J9,J10",2132250430:MOLEX_2132250430,digikey: 900-2132250430-ND
1719710106,J7,1719710106:MOLEX_1719710106,digikey:1719710106-ND
TFM-107-02-L-D-WT,J1,TFM-107-02-L-D-WT:SAMTEC_TFM-107-02-L-D-WT,digikey:SAM10111-ND
9774120360R,"MP1,MP2",9774120360R:WA-SMSI_9774120360,digikey:732-5279-1-ND
RC0201FR-07124KL,"R1,R2,R5",Resistor_SMD:R_0201_0603Metric,C138178
ERJ2RKF3743X,R3,Resistor_SMD:R_0402_1005Metric,C409912
RTT012871FTH,R4,Resistor_SMD:R_0201_0603Metric,C158645
RTT0259R0FTH,"R6,R10",402,C159005
ERJ2RKF2801X,R7,402,C409906
RC0201FR-07100KL,R8,Resistor_SMD:R_0201_0603Metric,C106224
LTM8064IY#PBF,"U1,U2",LTM8064IY_PBF:BGA108_16X11P9_ADI,digikey:505-LTM8064IY#PBF-ND
1206W4F2004T5E,R17,Capacitor_SMD:C_1206_3216Metric,C26120
0402WGF1200TCE,R9,0402,C25079
