Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,131.225,-95.65,top,-90
C2,134.2,-95.475,top,0
C3,134.61,-93.71,top,90
C4,136,-92.65,top,90
C5,133.585,-91.935,top,0
C6,129.47,-89.86,top,180
C7,162.5882,-84.7878,top,0
C8,165.0132,-83.1628,top,90
C9,164.6632,-81.0628,top,0
C10,164.6632,-81.9878,top,0
C11,155.3889,-86.95,top,-90
C12,154.6889,-86.925,top,-90
C13,160.5639,-89.55,top,0
C14,157.85,-82.65,top,90
C15,153.875,-82.625,top,-90
C16,155.6448,-95.807,top,90
C17,156.3448,-95.807,top,90
C18,160.5639,-91.65,top,180
C19,157.0448,-95.807,top,90
C21,152.704,-87.6948,top,0
C22,153.8948,-95.482,top,180
C23,151.599,-91.3448,top,0
C24,162.5882,-86.6378,top,0
C25,162.5932,-85.7128,top,0
C26,158.4382,-84.7878,top,180
C27,158.4382,-85.7128,top,180
C28,158.4382,-86.6378,top,180
D1,141.8,-91.975,top,90
D2,133.6,-89.6,top,90
D3,164.7082,-80.1378,top,0
D4,149.95,-91.325,top,90
J2,141.88,-81.595,top,0
L1,160.5132,-84.7878,top,0
R1,133.56,-94.06,top,180
R2,133.56,-93.36,top,180
R3,133.58,-92.66,top,180
R4,158.925,-82.075,top,0
R5,158.925,-82.775,top,180
R6,158.925,-81.25,top,0
R7,164.3132,-83.1628,top,-90
R8,153.9889,-86.925,top,90
R9,159.725,-87,top,-90
R10,160.425,-87,top,-90
R11,160.5639,-90.25,top,180
R12,160.5639,-90.95,top,180
R13,160.5639,-92.35,top,180
R14,160.5639,-88.8,top,180
R15,155.775,-80,top,0
R16,154.9448,-95.807,top,-90
R17,157.7448,-95.807,top,-90
U1,129.97,-92.6215,top,0
U2,156.1302,-91.343,top,-90
U3,161.6632,-82.3378,top,0
Y1,155.85,-82.55,top,180
J1,166.73,-80.83,bottom,-90
