Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
U9,176.8925,352.55,top,-90
U10,161.9199,348.33,top,180
U104,161.38,359.5,top,-90
C1,166.84,354.06,bottom,-90
C2,177.38,360.21,bottom,0
C4,168.36,349.06,bottom,90
C9,164.71,355.94,bottom,0
C12,159.6125,346.32,bottom,-90
C13,166.2925,346.78,bottom,-90
C14,162.2925,347.96,bottom,180
C15,165.1025,351.12,bottom,0
C16,175.95,358.67,bottom,0
C17,161.6125,344.52,bottom,180
C18,166.0925,344.52,bottom,0
C19,164.3225,349.03,bottom,180
C20,175.24,348.21,bottom,-90
C21,176.07,348.39,bottom,90
C22,162.5525,358.67,bottom,-90
C23,165.47,359.95,bottom,90
C25,164.1625,348.22,bottom,0
C26,167.61,354.07,bottom,-90
C27,169.66,348.03,bottom,0
C28,161.2125,357.25,bottom,0
C29,175.95,357.97,bottom,180
C30,169.66,348.73,bottom,0
C31,164.9625,353.59,bottom,0
C32,167.18,353.03,bottom,180
C33,166.91,349.11,bottom,180
C34,167.16,352.35,bottom,0
C102,164.95,354.49,bottom,0
C104,162.4525,348.78,bottom,0
C105,165.1125,351.82,bottom,0
C107,164.7025,355.21,bottom,0
C116,176.79,348.39,bottom,-90
C117,167.24,355.77,bottom,180
C118,167.85,359.16,bottom,-90
C120,167.01,360.03,bottom,-90
C122,159.8025,358.67,bottom,90
C123,164.8,356.64,bottom,180
C125,160.7525,358.67,bottom,90
C127,161.7025,358.68,bottom,90
D1,172.003,346.48,bottom,-90
D2,180.87,353.22,bottom,90
D4,179.84,356.75,bottom,0
D5,179.87,357.68,bottom,0
D6,179.9,358.58,bottom,0
FB1,166.0725,353.7,bottom,90
FB2,165.78,355.58,bottom,90
J1,189.8,358.2,bottom,90
J2,168.15,351.725,bottom,180
J3,186.22,347.23,bottom,-90
L101,151.91,356.64,bottom,0
L102,149.14,351.39,bottom,90
L103,152.9725,351.28,bottom,90
Q1,177.1472,346.71,bottom,0
R1,174.36,358.66,bottom,180
R2,175.71,360.67,bottom,180
R3,174.36,357.91,bottom,0
R4,174.6,345.41,bottom,90
R5,171.76,348.38,bottom,180
R6,167.91,357.22,bottom,0
R7,165.83,358.16,bottom,0
R8,165.83,358.87,bottom,0
R9,173.92,345.42,bottom,90
R10,174.43,359.79,bottom,90
R11,175.72,359.62,bottom,0
R12,176,346.57,bottom,-90
R13,175.3,346.59,bottom,90
R105,165.0925,352.52,bottom,180
R106,158.42,354.44,bottom,-90
R107,161.4425,355.285,bottom,0
R108,158.45,351.76,bottom,-90
R109,158.43,353.12,bottom,90
R110,160.4425,349.07,bottom,0
R111,158.47,349.86,bottom,90
R112,158.9525,358.03,bottom,-90
R113,158.9525,359.45,bottom,90
R114,167.23,355.07,bottom,180
R115,167.23,356.47,bottom,0
R118,168.35,356.05,bottom,90
R119,164.79,357.38,bottom,0
SW2,180.77,345.46,bottom,90
U1,172.8525,353.25,bottom,0
U2,161.625,352.19,bottom,90
U6,163.4679,346.160001,bottom,0
U105,170.36,359.205,bottom,0
Y2,166.85,350.759999,bottom,90
