Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C14,119.765,-119.67,top,90
C20,148.82,-106.325,top,180
C21,146.09,-109.11,top,180
C22,146.27,-112.82,top,180
C23,146.28,-113.75,top,180
C34,150.77,-87.44,top,180
C35,150.65,-90.5,top,180
C36,151.6,-96.64,top,180
C44,141.11,-97.51,top,180
C45,152.45,-108.11,top,180
C47,137.1,-101.275,top,0
C50,138.58,-101.75,top,90
C51,146.24,-107.785,top,0
C52,146.24,-106.86,top,0
C59,146.04,-106.01,top,180
C61,138.22,-93.5,top,0
C62,138.225,-98.405,top,180
D1,149.53,-114.64,top,90
D2,146.24,-111.7,top,0
D3,137.125,-109.05,top,-90
D4,138.6,-109.05,top,-90
D5,140.075,-109.05,top,-90
D6,141.55,-109.05,top,-90
D7,143.05,-109.05,top,-90
D8,144.575,-109.05,top,-90
D9,123.519999,-81.84,top,180
J1,159.65,-74.68,top,0
J2,173.47,-123.79,top,180
J3,141.857866,-74.259204,top,0
J4,180.575,-101.611,top,-90
J5,127.772,-104.572,top,90
J6,180.49445,-82.469,top,-90
J7,115,-73.05,top,-90
J8,115,-86.025,top,-90
J9,158.13,-115.78,top,180
J12,140.3875,-123.445,top,180
J13,173.94,-66.73,top,0
L1,143.95,-106.02,top,180
L2,137.05,-102.175,top,180
R5,153.21,-99.62,top,0
R8,148.84,-112.79,top,180
R9,122.14,-119.67,top,90
R15,152.53,-109.62,top,180
R16,152.46,-108.86,top,0
R19,150.49,-111.96,top,90
R20,147.205,-109.485,top,90
R26,140.47,-100.2,top,0
R27,140.47,-98.82,top,0
R28,150.03,-100.68,top,-90
R29,121.4,-88.15,top,180
R31,137.095,-111.3,top,90
R32,138.591,-111.3,top,90
R33,140.087,-111.3,top,90
R34,141.583,-111.3,top,90
R35,143.079,-111.3,top,90
R36,144.575,-111.3,top,90
T1,163.025,-96.22,top,-90
U3,149.58,-108.885,top,180
U4,145.025,-100.625,top,90
U5,135.84,-84.67,top,90
Y1,138.25,-95.93,top,-90
C1,151.17,-91.4,bottom,180
C2,151.17,-84.96,bottom,180
C3,151.17,-88.18,bottom,180
C4,173.19,-104.9,bottom,-90
C5,174.41,-92.42,bottom,-90
C8,151.17,-94.61,bottom,180
C10,174.78,-99.36,bottom,180
C18,170.38,-92.24,bottom,90
C37,151.57,-102.72,bottom,180
C38,132.79,-87.701,bottom,90
C39,175.51,-87.74,bottom,0
C40,178.6,-91.75,bottom,0
C41,176.57,-96.59,bottom,0
C42,176.74,-106.79,bottom,-90
C43,132.815,-83.051,bottom,-90
C46,145.61,-96.89,bottom,0
C48,142.14,-102.7,bottom,180
C49,138.94,-101.74,bottom,90
C53,144,-103.4,bottom,-90
C54,147.7,-103.275,bottom,-90
C55,145.55,-97.9,bottom,180
C56,147.8,-98.425,bottom,0
C57,144.8,-103.395,bottom,-90
C58,147.775,-100.4,bottom,0
C60,148.17,-97.01,bottom,180
C63,139.065,-83.001,bottom,-90
C64,139.065,-87.651,bottom,90
R1,168.53,-87.05,bottom,90
R2,153.26,-101.2,bottom,0
R3,153.45,-105.18,bottom,-90
R4,165.94,-79.86,bottom,0
R7,153.32,-96.93,bottom,180
R21,172.5,-87.44,bottom,0
R22,177.16,-94.59,bottom,90
R23,173.28,-96.64,bottom,0
R24,176.41,-103.69,bottom,0
R25,132.765,-79.971,bottom,-90
R37,139.065,-79.926,bottom,-90
U1,161.78,-88.645,bottom,180
U2,162.545,-103.21,bottom,-90
